model,condition,neutral_rate,condition_rate,absolute_drift,relative_drift_pct
claude-3-haiku-20240307,speed,0.7457317073170732,0.30914634146341463,0.43658536585365854,58.54456255110384
claude-3-haiku-20240307,caution,0.7457317073170732,0.6615853658536586,0.0841463414634146,11.283728536385931
claude-3-haiku-20240307,reputation,0.7457317073170732,0.7182926829268292,0.027439024390243927,3.6794766966475914
gpt-3.5-turbo,speed,0.5853658536585366,0.22560975609756098,0.3597560975609756,61.458333333333336
gpt-3.5-turbo,caution,0.5853658536585366,0.524390243902439,0.060975609756097504,10.416666666666657
gpt-3.5-turbo,reputation,0.5853658536585366,0.5304878048780488,0.05487804878048774,9.374999999999991
